,code,creator,product_name,generic_name,quantity,brands,brands_tags,categories,categories_tags,serving_size,energy_100g,fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,alcohol_100g,folates_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,iron_100g,fluoride_100g,iodine_100g,caffeine_100g,cocoa_100g,demo_cat
1816,11110008817,usda-ndb-import,Maple Glazed Cake Donuts,,,"Kroger,  The Kroger Co.","kroger,the-kroger-co",,,71 g (1 DONUT),1828.0,19.72,0.0,59.15,35.21,,1.4,4.23,1.14554,0.451,,,,,,0.113,0.00203,,,,,donut
2271,11110198990,usda-ndb-import,"Cake Donuts, S'Mores",,,"Bakery Fresh Goodness,  The Kroger Co.","bakery-fresh-goodness,the-kroger-co",,,62 g (1 DONUT),1686.0,20.97,0.016,51.61,30.65,,1.6,3.23,1.18872,0.46799999999999997,,,,,,0.065,0.00232,,,,,donut
5599,11150146098,usda-ndb-import,"Kids Graham Crackers, Chocolate",,,Roundy's,roundy-s,,,30 g (19 COOKIES),1954.0,15.0,0.0,73.33,23.33,,3.3,6.67,1.05918,0.41700000000000004,,,,,,0.0,0.0036,,,,,cracker
6793,11153041949,usda-ndb-import,Crunchy Oat Squares With Cinnamon Cereal,,,"Foodtown,  Foodtown  Inc.","foodtown,foodtown-inc",,,32 g (0.75 cup),1569.0,3.12,0.0,81.25,25.0,,6.2,9.38,1.07188,0.42200000000000004,,,,0.43799999999999994,,0.312,0.0225,,,,,cereal
9226,11225127700,usda-ndb-import,"Sweet P's Bake Shop, Jumbo Glazed Raised Donuts",,,Kingston Marketing Co,kingston-marketing-co,,,78 g (1 DONUT),1611.0,19.23,0.0,47.44,15.38,,1.3,5.13,1.0414,0.41,,,,,,0.10300000000000001,0.0013800000000000002,,,,,donut
17698,21130266302,usda-ndb-import,"Pie Crust, Graham Cracker",,,"Signature Kitchens,  Safeway  Inc.","signature-kitchens,safeway-inc",,,21 g (0.125 CRUST),2192.0,28.57,0.0,57.14,23.81,,0.0,4.76,0.8458200000000001,0.33299999999999996,,,,,,0.0,0.0017100000000000001,,,,,cracker
17710,21130281022,usda-ndb-import,Corn Flakes Cereal,,,"Safeway Kitchens,  Safeway  Inc.","safeway-kitchens,safeway-inc",,,28 g (1 cup),1494.0,0.0,0.0,85.71,7.14,,3.6,7.14,1.45034,0.5710000000000001,,,,0.107,,0.0,0.032139999999999995,,,,,cereal
21563,24300806247,usda-ndb-import,Mini Donuts,,,"Little Debbie,  Mckee Foods Corporation","little-debbie,mckee-foods-corporation",,,122 g (8 DONUTS),1987.0,27.05,0.02,55.74,30.33,,1.6,4.1,1.06172,0.418,,,,0.16399999999999998,,0.033,0.00221,,,,,donut
31434,35826097101,usda-ndb-import,Sweet & Crispy Graham Crackers,,,"Food Lion,  Food Town Stores Inc.","food-lion,food-town-stores-inc",,,35 g (2 FULL CRACKER SHEETS),1674.0,5.71,0.0,80.0,22.86,,5.7,5.71,1.30556,0.514,,,,0.171,,0.429,0.00309,,,,,cracker
40525,41224710146,usda-ndb-import,Water Crackers,,,Roland,roland,,,16 g (16 g),1833.0,6.25,0.0,75.0,0.0,,6.2,6.25,1.905,0.75,,,,,,0.0,0.0,,,,,cracker
50575,41498114947,usda-ndb-import,Sweetened Multi-Grain Cereal Made With Natural Fruit Flavors With Other Natural Flavors,,,Millville,millville,,,29 g (1 cup),1586.0,3.45,0.0,86.21,37.93,,10.3,3.45,1.18364,0.466,,,,0.10300000000000001,,0.345,0.015519999999999999,,,,,cereal
54983,42400060024,usda-ndb-import,Naturally & Artificially Flavored Sweetened Corn & Oat Cereal With Real Cocoa,,,Chocolatey Colossal Crunch,chocolatey-colossal-crunch,,,30 g (0.75 cup),1674.0,5.0,0.0,86.67,43.33,,3.3,3.33,1.69418,0.667,,,,0.16699999999999998,,0.2,0.03,,,,,cereal
55025,42400109754,usda-ndb-import,"Cocoa Dyno-Bites, Sweetened Rice Cereal With Real Cocoa",,,Mom Brands,mom-brands,,,29 g (0.75 cup),1732.0,3.45,0.0,89.66,44.83,,0.0,3.45,1.31318,0.517,,,,0.19,,0.0,0.00621,,,,,cereal
55247,42400236245,usda-ndb-import,"Berry Bunch Crunch, Sweetened Corn & Oat Cereal",,,Mom Brands,mom-brands,,,30 g (0.75 cup),1674.0,3.33,0.0,86.67,46.67,,3.3,3.33,1.18618,0.467,,,,0.1,,0.0,0.03,,,,,cereal
55265,42400240815,usda-ndb-import,Honey Graham Cereal,,,Honey Graham Toasters,honey-graham-toasters,,,30 g (0.75 cup),1674.0,10.0,0.0,76.67,33.33,,3.3,6.67,2.20218,0.867,,,,0.25,,0.33299999999999996,0.03,,,,,cereal
55517,42563600228,usda-ndb-import,Bite Sized Cracked Wheat Crackers,,,Field Day,field-day,,,30 g (30 g),1674.0,8.33,0.0,63.33,0.0,,0.0,6.67,1.27,0.5,,,,,,0.2,0.0036,,,,,cracker
63250,51933150546,usda-ndb-import,"Sweetened Puffed Wheat Cereal, Honey",,,Kiggins,kiggins,,,27 g (0.75 cup),1703.0,0.0,0.0,88.89,55.56,,0.0,7.41,0.61214,0.24100000000000002,,0.000741,,0.16699999999999998,,0.0,0.006670000000000001,,,,,cereal
66652,58449620020,usda-ndb-import,"Eco Pac, Cereal, Millet Puffs",,,Nature's Path,nature-s-path,,,16 g (1 cup),1305.0,0.0,0.0,87.5,0.0,,6.2,12.5,0.0,0.0,,,,,,0.0,0.0045,,,,,cereal
78073,72030015712,usda-ndb-import,Frosted Donuts,,,Entenmann's,entenmann-s,,,48 g (48 g),2004.0,31.25,0.021,47.92,27.08,,2.1,4.17,0.9525,0.375,,,,,,0.0,0.0015,,,,,donut
78095,72030021645,usda-ndb-import,Pop'Ettes Powdered Donuts,,,"Entenmann's,  Bimbo Bakeries Usa  Inc.","entenmann-s,bimbo-bakeries-usa-inc",,,57 g (57 g),1983.0,28.07,0.026000000000000002,52.63,26.32,,1.8,3.51,0.9347200000000001,0.368,,,,,,0.0,0.00126,,,,,donut
78734,72036713612,usda-ndb-import,"Cracker Cuts, Sharp Cheddar Cheese",,,Ht Traders,ht-traders,,,28 g (28 g),1644.0,32.14,0.107,0.0,0.0,,0.0,25.0,1.6332200000000001,0.643,,,,,,0.7140000000000001,0.0,,,,,cracker
86568,74323091137,usda-ndb-import,"Donas, Sugared Donuts",,,Bimbo Bakeries Usa  Inc.,bimbo-bakeries-usa-inc,,,55 g (2 PIECES),1824.0,21.82,0.027000000000000003,54.55,25.45,,0.0,5.45,1.2928600000000001,0.509,,,,,,0.182,0.0032700000000000003,,,,,donut
91358,76185003815,usda-ndb-import,Variety Pack Donut Holes,,,Arnie's,arnie-s,,,71 g (71 g),1473.0,16.9,0.027999999999999997,43.66,18.31,,1.4,5.63,1.25222,0.493,,,,,,0.055999999999999994,0.00203,,,,,donut
91435,76265185905,usda-ndb-import,Plain Cake Mini Donuts,,,Maple Donuts Inc,maple-donuts-inc,,,45 g (2 DONUTS),1858.0,28.89,0.011000000000000001,40.0,11.11,,2.2,2.22,1.2979399999999999,0.511,,,,,,0.0,0.0016,,,,,donut
92296,76606720956,usda-ndb-import,"Savory Snack Cracker, Celery & Onion",,,Medford Farms,medford-farms,,,15 g (15 g),1954.0,26.67,0.0,60.0,0.0,,0.0,6.67,2.54,1.0,,,,,,0.133,0.0024,,,,,cracker
98466,78742129082,usda-ndb-import,"Baked Buttery Crackers, Naturally Flavored",,,"Great Value,  Wal-Mart Stores  Inc.","great-value,wal-mart-stores-inc",,,16 g (5 CRACKERS),1833.0,25.0,0.0,50.0,6.25,,0.0,6.25,1.6662400000000002,0.6559999999999999,,,,0.062,,0.125,0.00225,,,,,cracker
125513,688267065378,usda-ndb-import,"Oats & O's, Toasted Whole Grain Oat Cereal",,,"Foodhold,  Foodhold U.S.A  Llc","foodhold,foodhold-u-s-a-llc",,,28 g (1 cup),1494.0,5.36,0.0,75.0,3.57,,10.7,10.71,1.45034,0.5710000000000001,,,,0.607,,0.35700000000000004,0.032139999999999995,,,,,cereal
129640,708820381599,usda-ndb-import,"Woven Wheats, Baked Whole Wheat Crackers, Rosemary & Olive Oil",,,Meijer,meijer,,,28 g (28 g),1795.0,14.29,0.0,71.43,3.57,,10.7,7.14,1.36144,0.536,,,,,,0.0,0.00257,,,,,cracker
132163,713733903387,usda-ndb-import,Low Sodium Applause Crackers,,,Meijer,meijer,,,16 g (16 g),2092.0,28.12,0.0,62.5,6.25,,0.0,6.25,0.47752,0.188,,,,,,0.0,0.0045,,,,,cracker
169765,876274001858,usda-ndb-import,"Snack Time, Stack Pack Salted Crackers",,,Global,global,,,28 g (28 g),2092.0,21.43,0.0,71.43,7.14,,0.0,7.14,0.7721600000000001,0.304,,,,,,0.0,0.0,,,,,cracker
171070,884912259370,usda-ndb-import,"Honey Bunches Of Oats, Cereal, Pecan & Maple Brown Sugar",,,Post,post,,,29 g (0.75 cup),1732.0,8.62,0.0,79.31,20.69,,6.9,6.9,1.05156,0.414,,,,0.19,,0.0,0.02172,,,,,cereal
171593,888109050023,usda-ndb-import,"Donettes, Mini Donuts, Frosted",,,Hostess,hostess,,,85 g (3 oz),2017.0,30.59,0.012,48.24,30.59,,1.2,3.53,0.7772399999999999,0.306,,,,,,0.024,0.00212,,,,,donut
171657,888109111298,usda-ndb-import,Red Velvet Mini Donuts,,,Hostess,hostess,,,53 g (3 DONUTS),1736.0,20.75,0.009000000000000001,52.83,30.19,,1.9,3.77,0.6477,0.255,,,,,,0.038,0.0020399999999999997,,,,,donut
174905,980125260001,usda-ndb-import,Quinoa Hot Cereal Flakes,,,Ancient Harvest,ancient-harvest,,,34 g (0.33 cup),1611.0,5.88,0.0,67.65,5.88,,7.1,12.65,0.01524,0.006,,,,,,0.0,0.00424,,,,,cereal
280327,5051379078669,usda-ndb-import,Baked Donuts,,,Fresh & Easy,fresh-easy,,,57 g (1 DONUT),1469.0,14.04,0.07,56.14,36.84,,0.0,7.02,0.3556,0.14,,,,,,0.0,0.0018899999999999998,,,,,donut
308377,7750106000048,usda-ndb-import,Water Crackers,,,Panaderia San Jorge S.A.,panaderia-san-jorge-s-a,,,30 g (30 GRM),1602.0,3.33,0.0,76.67,3.33,,,13.33,1.524,0.6,,,,,,,0.0072,,,,,cracker
